,tweets,id,length,date,source,likes,retweets,sentiment,pnn
66,Astronomers believe they have observed the first direct evidence of planet birth in a young star system 520 light-y… https://t.co/ROZElH3ZKx,1263327642259947520,140,2020-05-21 04:35:56,SocialFlow,1742,401,1,Positive
67,A state lawmaker in Illinois has defended his refusal to wear a mask meant to stem the spread of coronavirus after… https://t.co/PjShXSyoPj,1263324901869527041,139,2020-05-21 04:25:02,SocialFlow,715,137,0,Nuetral
68,"""Given what experts have said about a potential resurgence of the virus and the flu season ... reopening schools th… https://t.co/W7wQpP2xfa",1263321395435634690,140,2020-05-21 04:11:06,SocialFlow,316,84,0,Nuetral
69,A South Carolina woman who faces assault and battery charges told officials she thought her mail was being stolen b… https://t.co/26RSHK3ADj,1263318892161753089,140,2020-05-21 04:01:09,SocialFlow,237,91,0,Nuetral
70,The director-general of the World Health Organization on Wednesday said that more cases had been reported to the ag… https://t.co/5SLtd7rLtc,1263316980121157634,140,2020-05-21 03:53:34,SocialFlow,741,435,1,Positive
71,"Protesters staged a mock funeral at Lafayette Square in Washington, DC, to protest the White House coronavirus resp… https://t.co/PFDno6Kicv",1263312375064809479,140,2020-05-21 03:35:16,SocialFlow,869,206,0,Nuetral
72,Whereas Democrats are moving forward with a cautious approach — setting their convention back by a month and openly… https://t.co/Vp9ZAGL9gD,1263308803967266817,140,2020-05-21 03:21:04,SocialFlow,248,70,0,Nuetral
73,A coronavirus model that has been cited by the White House is looking to incorporate data on whether Americans wear… https://t.co/9c4ruxARBW,1263308553026232320,140,2020-05-21 03:20:04,SocialFlow,106,30,0,Nuetral
74,Senate Majority Leader Mitch McConnell has kept fellow Republicans at bay by saying Congress should wait before pas… https://t.co/KWfQDsjrgR,1263308552380317696,140,2020-05-21 03:20:04,SocialFlow,200,68,0,Nuetral
75,"Coronavirus testing in the United States is disorganized and needs coordination at the national level, infectious d… https://t.co/GkOalDyJu8",1263308291003777030,140,2020-05-21 03:19:02,SocialFlow,1444,593,0,Nuetral
76,"The University of California is going green.

The university system announced this week that it had divested comple… https://t.co/HLBmb2zFzM",1263307545256624130,140,2020-05-21 03:16:04,SocialFlow,1028,182,-1,Negative
77,"Struggling farmers and ranchers, many of whom have seen their markets collapse as the coronavirus pandemic upended… https://t.co/4zwfrqdlEV",1263307299214458880,139,2020-05-21 03:15:05,SocialFlow,180,79,1,Positive
78,"""On Tuesday, there was supposed to be an election in Georgia to fill the seat of a retiring state Supreme Court Jus… https://t.co/acbWSEEkku",1263307298677628928,140,2020-05-21 03:15:05,SocialFlow,245,128,0,Nuetral
79,China's biggest political gathering of the year is finally taking place after a two-month delay. At the top of the… https://t.co/VmIPmVhQH3,1263306551483346944,139,2020-05-21 03:12:07,SocialFlow,141,43,1,Positive
80,The pandemic has revived the classic American tradition of the drive-in as a safe way to stay entertained without p… https://t.co/0C0hRHhL30,1263306548266360832,140,2020-05-21 03:12:06,SocialFlow,267,71,1,Positive
81,NY Gov. Andrew Cuomo calls partisan bickering over “bailing out” blue states around congressional funding bill “dis… https://t.co/ifbX5auYir,1263306268569026561,140,2020-05-21 03:11:00,Twitter Media Studio,783,178,0,Nuetral
82,"AT&amp;T says it will discontinue use of the marketing terms ""5G Evolution"" and ""5G Evolution, The First Step to 5G,"" a… https://t.co/g0fgcmKHyZ",1263305790779097088,144,2020-05-21 03:09:06,SocialFlow,148,47,1,Positive
83,"Dr. Anthony Fauci, the US' top infectious disease expert, last gave a TV interview on May 4th.

Prior to his recent… https://t.co/RhcTMPrx4i",1263305538559004679,140,2020-05-21 03:08:06,SocialFlow,1267,452,1,Positive
84,"The coronavirus has set global school enrollment back four decades, as closures and recessions in many countries ha… https://t.co/69pAeMn6gW",1263305537216708608,140,2020-05-21 03:08:05,SocialFlow,133,60,1,Positive
85,President Trump concluded a White House conference call with Hispanic leaders ostensibly focused on the coronavirus… https://t.co/gBsSI7Mci6,1263304765615808517,140,2020-05-21 03:05:01,SocialFlow,234,77,0,Nuetral
86,"Norma McCorvey, the anonymous plaintiff in the 1973 US Supreme Court case Roe v. Wade, says in a new documentary th… https://t.co/jpty3vmyRU",1263304529400999937,140,2020-05-21 03:04:05,SocialFlow,280,98,1,Positive
87,"Just like the difference between reopening plans in Georgia and Connecticut (the last state to begin the process),… https://t.co/MzuhGRlTqG",1263304280091615245,139,2020-05-21 03:03:06,SocialFlow,173,42,0,Nuetral
88,"House Democrats are asking for more information about why the Department of Transportation's top watchdog, acting I… https://t.co/VSi4LQvlHx",1263303782961688582,140,2020-05-21 03:01:07,SocialFlow,351,108,1,Positive
89,"""The fact that he is still alive after taking the drug doesn't mean it was the right thing to do,"" says cardiologis… https://t.co/ZcpXFbSt4J",1263303752439623682,140,2020-05-21 03:01:00,Twitter Media Studio,275,71,1,Positive
90,Health officials in Europe and the United States have reported cases of a rare but serious new syndrome affecting c… https://t.co/3rHuQqgVjY,1263301349187506184,140,2020-05-21 02:51:27,SocialFlow,210,87,1,Positive
91,"""I'm really saddened that it's been sidelined this way ... It ought to be leading the response against coronavirus.… https://t.co/xF5a9BSiSi",1263298719044247553,140,2020-05-21 02:41:00,Twitter Media Studio,416,182,1,Positive
92,Charles Barkley says it's not safe for the NCAA to go through with plans to permit Division I football &amp; basketball… https://t.co/cz15SVpUi2,1263298597224759296,144,2020-05-21 02:40:31,Twitter Media Studio,606,179,-1,Negative
93,"HBO Max is releasing the fabled ""Snyder Cut"" of ""Justice League,"" which is director Zack Snyder's alternate version… https://t.co/3ywo250jw3",1263297453744406528,140,2020-05-21 02:35:58,SocialFlow,296,63,1,Positive
94,“It continues to concern me that he’s not listening to these experts. The CDC has survived multiple administrations… https://t.co/x47HYCrn8L,1263296202365374465,140,2020-05-21 02:31:00,Twitter Media Studio,508,158,0,Nuetral
95,A woman has won a Picasso painting worth $1.1 million (1 million euros) in a fundraising raffle overseen by auction… https://t.co/PDOL8jeXa0,1263295928091492352,140,2020-05-21 02:29:54,SocialFlow,270,48,1,Positive
96,"“My message to Delawareans is, social distancing is working, but now is not the time to let up as we gradually reop… https://t.co/lb9GlcXQqD",1263293685753450496,140,2020-05-21 02:21:00,Twitter Media Studio,281,64,1,Positive
97,"Health officials in at least 3 states have been combining Covid-19 data on diagnostic tests and antibody tests, ske… https://t.co/62geY8HuB5",1263293190389534721,140,2020-05-21 02:19:02,SocialFlow,175,70,-1,Negative
98,An upcoming NASA telescope has been named the Nancy Grace Roman Space Telescope in honor of the agency's first chie… https://t.co/xZSWMbKmBP,1263291431948562440,140,2020-05-21 02:12:02,SocialFlow,317,65,1,Positive
99,Wisconsin state legislators have introduced a new bill aimed at sending absentee ballot applications to all registe… https://t.co/3r5zYmBELq,1263291193917652992,140,2020-05-21 02:11:06,SocialFlow,284,62,1,Positive
100,"“Hope is a good thing, but hope has to be grounded in facts and full information… you got to give people the caveat… https://t.co/kbHUhlmkMs",1263291169217208321,140,2020-05-21 02:11:00,Twitter Media Studio,156,48,1,Positive
101,"The Missouri School Board Association has released a draft of its plan to reopen K-12 schools, including an alterna… https://t.co/aik47yDOah",1263289942261760000,140,2020-05-21 02:06:07,SocialFlow,119,38,0,Nuetral
102,"Boston College plans to reopen for on-campus classes on August 31 as scheduled, according to an email sent to the B… https://t.co/ROPYIWDZHG",1263288919115870208,140,2020-05-21 02:02:03,SocialFlow,176,47,0,Nuetral
103,"Dr. William Haseltine has concerns with companies announcing drug trial progress without evidence. ""It's dangerous… https://t.co/cfnvRuHpkt",1263288652765040641,139,2020-05-21 02:01:00,Twitter Media Studio,222,69,-1,Negative
104,The news that President Trump's White House may not be hosting a ceremonial unveiling of former President Obama's W… https://t.co/DTLY6sqy2a,1263288234869755904,140,2020-05-21 01:59:20,SocialFlow,1830,379,1,Positive
105,"RT @AC360: .@andersoncooper: “With today seeing the largest single day increase in global coronavirus, with more than 93,000 Americans now…",1263287468968706049,139,2020-05-21 01:56:18,TweetDeck,0,742,1,Positive
106,Sen. Chuck Schumer says the firing of the State Department IG investigating Secretary of State Mike Pompeo shows th… https://t.co/oWumFVOm69,1263287363846803456,140,2020-05-21 01:55:52,Twitter Media Studio,407,100,0,Nuetral
107,"RT @OutFrontCNN: For the first time since officials began implementing widespread lockdowns to slow the spread of coronavirus, all 50 state…",1263286439325822976,140,2020-05-21 01:52:12,TweetDeck,0,27,-1,Negative
108,"""We're adding in a layer of about 100 to 150 individuals that are going to be called beach ambassadors. They'll be… https://t.co/vitAhIWnXs",1263286135918297090,139,2020-05-21 01:51:00,Twitter Media Studio,130,38,0,Nuetral
109,An NFL player claims in a lawsuit filed against United Airlines that flight staff ignored numerous complaints as he… https://t.co/57T6wje6AB,1263285829658705921,140,2020-05-21 01:49:47,SocialFlow,238,65,0,Nuetral
110,"RT @TheLeadCNN: “The whole reason we’re having this conversation is because of what you said about the CDC on Sunday,” @jaketapper presses…",1263285595176005632,139,2020-05-21 01:48:51,TweetDeck,0,105,1,Positive
111,A nurse recovering from coronavirus posted stunning pictures of the impact the virus and hospital stay had on his b… https://t.co/Vt7DPDquEN,1263285047806660608,140,2020-05-21 01:46:40,Twitter Media Studio,511,240,1,Positive
112,"Mark Shaffer, a parent suing George Washington University as it went online-only: “Most universities that do strict… https://t.co/n2KJiGTTI2",1263284219016409094,140,2020-05-21 01:43:23,Twitter Media Studio,377,92,1,Positive
113,"“If you start stripping out the middle seat…it doesn't actually give you proper social distancing,” says Sara Nelso… https://t.co/GVIzj5lZgG",1263283325386412032,140,2020-05-21 01:39:50,Twitter Media Studio,156,42,1,Positive
114,"As meat prices increase, here are some easy ways to seek out alternatives.

🥗 Designate one day each week for meatl… https://t.co/4dfQzkzlYE",1263282631057301506,140,2020-05-21 01:37:04,SocialFlow,278,91,1,Positive
115,Former Veterans Affairs Sec. David Shulkin on President Trump taking hydroxychloroquine: “I’m concerned about the w… https://t.co/7NVMWmYJ1b,1263282532058935298,140,2020-05-21 01:36:40,Twitter Media Studio,264,72,-1,Negative
116,"Steelers quarterback Ben Roethlisberger got a haircut, defying lockdown orders — and Pennsylvania’s governor wasn’t… https://t.co/eN51R2eBTz",1263282312587776000,140,2020-05-21 01:35:48,Twitter Media Studio,112,34,0,Nuetral
117,"""Data is one thing, but behavior impacts that data so closely... so far the folks have really taken this seriously.… https://t.co/fDmi42QqwC",1263282222477406208,140,2020-05-21 01:35:27,Twitter Media Studio,91,24,-1,Negative
118,"RT @CNNnewsroom: .@SenatorMenendez is part of a bipartisan push for more funding to states via the SMART Act.

""This isn’t a red or blue is…",1263282043493834753,140,2020-05-21 01:34:44,TweetDeck,0,42,1,Positive
119,The US Census Bureau has released the first results from its new “pulse survey” in response to the coronavirus pand… https://t.co/XhOOJcW2mY,1263279770172829696,140,2020-05-21 01:25:42,SocialFlow,184,81,1,Positive
120,"This man thought his pet donkey would not remember him after he had been under quarantine, but the beloved animal g… https://t.co/j2GKFiuIip",1263277822900146176,140,2020-05-21 01:17:58,SocialFlow,2976,520,1,Positive
121,Asian Americans in NYC's Chinatown say the crisis has hit their community especially hard. One community leader say… https://t.co/R1ocabruq2,1263275332209184768,140,2020-05-21 01:08:04,SocialFlow,160,40,-1,Negative
122,"Phase two of Connecticut’s reopening is slated for June 20, Gov. Ned Lamont says.

Several indoor facilities, inclu… https://t.co/OVEhj7vBqO",1263272557576441858,140,2020-05-21 00:57:02,SocialFlow,117,33,0,Nuetral
123,More than half the counties in California are moving further into phase two of the state’s four-phased approach to… https://t.co/0mXNB3Sx9B,1263269160907411458,139,2020-05-21 00:43:33,SocialFlow,202,42,1,Positive
124,"Tesla has dropped a federal lawsuit against Alameda County over health orders due to the pandemic.

CEO Elon Musk d… https://t.co/JITrsibiN0",1263265798505795584,140,2020-05-21 00:30:11,SocialFlow,201,54,-1,Negative
125,A federal appeals court has temporarily halted a lower court judge's ruling that would have allowed all registered… https://t.co/0zQMqKBSaT,1263262898987696128,139,2020-05-21 00:18:40,SocialFlow,179,101,0,Nuetral
126,President Trump's former personal attorney Michael Cohen will be released early from prison on Thursday and is expe… https://t.co/uzUA1h8r2t,1263262340272791555,140,2020-05-21 00:16:26,SocialFlow,421,115,1,Positive
127,People and businesses around the world are getting creative in an effort to safely socialize. CNN asked a health ex… https://t.co/RZrKsNvdQW,1263259433083297793,140,2020-05-21 00:04:53,SocialFlow,373,159,1,Positive
128,"United Airlines' new CEO says he hopes to avoid staff cuts, despite the need to significantly reduce labor costs in… https://t.co/BWY2pMPKZK",1263256971886628866,140,2020-05-20 23:55:06,SocialFlow,163,38,1,Positive
129,"Fragments from the Dead Sea Scrolls were stowed away, deemed largely worthless.

But researchers have found that 4… https://t.co/mqAnr3zzjm",1263252497348661253,139,2020-05-20 23:37:20,SocialFlow,843,179,-1,Negative
130,"NASA's chief of human spaceflight, Doug Loverro, is departing the space agency after just six months in the role. I… https://t.co/ZUybB9LVbs",1263247864169406465,140,2020-05-20 23:18:55,SocialFlow,157,41,0,Nuetral
131,"Federal authorities want a rare, ancient artifact returned to Iraq after it was sold to a US craft store for $1.6 m… https://t.co/ukNlUSimrm",1263243298916925441,140,2020-05-20 23:00:47,SocialFlow,303,115,1,Positive
132,"Fans have begged for Warner Bros. to release the infamous ""Snyder Cut"" of ""Justice League"" — an extended version of… https://t.co/8RU2ms4DXy",1263240866791120903,140,2020-05-20 22:51:07,SocialFlow,1562,483,-1,Negative
133,Months after LA County sheriff's deputies were accused of sharing graphic photos from the crash that killed Kobe Br… https://t.co/p9nNTh4MF5,1263237609469489152,140,2020-05-20 22:38:10,SocialFlow,1210,195,-1,Negative
134,"Here's a look at the business stories you need to read today.

➡️ The latest in the saga of former Nissan chairman… https://t.co/6VVxaTONuC",1263233792577282050,139,2020-05-20 22:23:00,SocialFlow,91,30,1,Positive
135,Illinois Gov. J.B. Pritzker has said restaurants in Illinois can offer outdoor seating to patrons with certain addi… https://t.co/ZXODinwt6d,1263229988276506625,140,2020-05-20 22:07:53,SocialFlow,182,46,1,Positive
136,"On tonight's #TheDailyDC podcast, we go inside ""Team Trump Online,"" the Trump campaign's nightly livestream, and br… https://t.co/cRQKYeTfya",1263225646609768451,140,2020-05-20 21:50:38,SocialFlow,102,24,0,Nuetral
137,"As part of its $2 trillion coronavirus aid package, the federal government cleared the way for struggling homeowner… https://t.co/phSDNQDRWe",1263224426688065544,140,2020-05-20 21:45:47,SocialFlow,164,59,0,Nuetral
138,This family discovered two bags containing nearly $1 million in cash while on an afternoon drive… https://t.co/5H40OuhDY6,1263220446171926528,121,2020-05-20 21:29:58,SocialFlow,376,115,1,Positive
139,From pushing conspiracy theories to saying he's taking an unproven and potentially harmful drug to ward off coronav… https://t.co/PMZuANSoSU,1263216610862665729,140,2020-05-20 21:14:44,SocialFlow,646,223,0,Nuetral
